index,Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency,Id_Cryptocurrency
852,439-csves/0.csv,12,UDP,TCP,,0.0,0.0,0.001,0.5760000000000001,0.294,0.0,16,111,0,43,697,8,8,53,443.0,46298.0,53,443.0,46298.0,1.0,1.0,2.0,45.0,59.5,64.0,not_mine,,0
249,40-csves/1.csv,2,TCP,,,264.70725000000004,264.7085,264.70975,529.4169999999999,264.711,264.70599999999996,25,259,0,343,8576,2,2,3337,54082.0,,3337,54082.0,,12.25,12.5,12.75,2326.5,4288.0,6249.5,mine,Bitcash,2
746,87-csves/3.csv,8,TCP,,,34.175999999999995,54.287000000000006,131.534,875.8349999999998,325.342,3.987,534,1287,1,135,72402,2,2,4444,58780.0,,4444,58780.0,,22.0,33.5,77.75,1131.0,4528.5,8113.25,mine,Etherium,4
7,1-csves/0.csv,2,TCP,,,514.22725,514.2275,514.2277499999999,1028.455,514.2280000000001,514.227,38,239,0,405,15421,2,2,59090,3337.0,,59090,3337.0,,19.0,19.0,19.0,4045.25,7710.5,11375.75,mine,Bitcash,2
450,231-csves/0.csv,69,TCP,UDP,,120.005,180.736,240.333,10989.204,276.889,0.0,995,4656,3,171,170547,37,34,443,123.0,80.0,443,123.0,80.0,4.0,7.0,23.0,128.0,306.0,2538.0,not_mine,,0
279,44-csves/5.csv,2,TCP,,,534.62525,534.6255,534.6257499999998,1069.251,534.626,534.625,66,410,0,415,27450,2,2,3337,49875.0,,3337,49875.0,,33.0,33.0,33.0,7192.5,13725.0,20257.5,mine,Bitcash,2
7,3-csves/1.csv,69,TCP,UDP,,92.17,167.919,194.847,10104.649,240.00799999999998,3.003,503,1321,1,96,48475,39,35,443,80.0,55936.0,443,80.0,1900.0,5.0,6.0,7.0,128.0,192.0,269.0,not_mine,,0
117,33-csves/3.csv,4,TCP,,,511.541,511.543,511.545,2046.172,511.545,511.541,56,116,0,132,7418,2,2,51085,14444.0,,51085,14444.0,,14.0,14.0,14.0,450.0,1854.5,3259.0,mine,Monero,5
388,47-csves/1.csv,8,TCP,,,38.26750000000001,63.407,99.97899999999998,580.9499999999998,145.408,16.934,345,1257,1,135,46787,2,2,4444,58780.0,,4444,58780.0,,22.5,35.5,56.0,2030.5,3391.5,7267.0,mine,Etherium,4
223,115-csves/0.csv,136,TCP,UDP,,0.21175,5.981999999999998,31.72875,2629.748,121.85700000000001,0.0,5718,175616,26,817,4672026,66,64,443,80.0,53.0,443,80.0,53.0,2.0,4.0,8.25,64.0,100.0,862.25,not_mine,,0
294,47-csves/0.csv,2,TCP,,,105.6525,105.653,105.6535,211.306,105.654,105.652,10,354,0,468,4685,2,2,3337,54082.0,,3337,54082.0,,5.0,5.0,5.0,1221.25,2342.5,3463.75,mine,Bitcash,2
355,57-csves/0.csv,2,TCP,,,254.41375,254.4145,254.41525,508.829,254.416,254.41299999999998,32,505,0,502,16080,2,2,3337,54082.0,,3337,54082.0,,16.0,16.0,16.0,4180.0,8040.0,11900.0,mine,Bitcash,2
39,7-csves/4.csv,2,TCP,,,295.04925,295.0495,295.04975,590.0989999999998,295.05,295.04900000000004,386,1449,1,138,53470,2,2,4444,58780.0,,4444,58780.0,,187.0,193.0,199.0,17641.0,26735.0,35829.0,mine,Etherium,4
200,47-csves/3.csv,2,TCP,,,274.62825,274.62850000000003,274.62875,549.2570000000002,274.629,274.628,41,428,0,359,14727,2,2,3333,50348.0,,3333,50348.0,,19.75,20.5,21.25,4059.25,7363.5,10667.75,mine,Litecoin,3
94,15-csves/4.csv,2,TCP,,,244.87150000000003,244.872,244.8725,489.744,244.873,244.87099999999998,40,467,0,357,14311,2,2,3332,52144.0,,3332,52144.0,,18.0,20.0,22.0,3816.75,7155.5,10494.25,mine,Bitcoin,1
226,30-csves/1.csv,16,TCP,,,4.59575,13.269,33.798500000000004,399.18699999999995,97.272,0.0,236,1232,1,135,31976,2,2,4444,55582.0,,55582,4444.0,,3.75,9.0,20.0,429.0,851.5,2106.5,mine,Etherium,4
41,22-csves/0.csv,33,TCP,UDP,ICMP6,3.0060000000000002,170.61599999999999,194.891,4474.18,246.97400000000002,0.0,5190,130401,18,885,4593958,21,18,443,0.0,80.0,443,1900.0,80.0,4.0,9.0,26.0,256.0,696.0,6389.0,not_mine,,0
184,30-csves/0.csv,2,TCP,,,548.6132500000001,548.6135,548.61375,1097.2269999999999,548.614,548.613,42,266,0,434,18266,2,2,3337,49875.0,,3337,49875.0,,21.0,21.0,21.0,4829.0,9133.0,13437.0,mine,Bitcash,2
